,Equity,DrawdownPct,DrawdownDuration
2010-04-26,43493.23172000005,0.0663168971679381,
2010-04-27,43691.89172000005,0.062052199469621816,
2010-04-28,43681.88172000004,0.0622670873381419,
2010-04-29,43465.511720000046,0.06691197126537762,
2010-04-30,43950.611720000044,0.05649817456018691,
2010-05-03,43573.31172000004,0.06459779421977974,
2010-05-04,45439.02172000005,0.024546001494895275,
2010-05-05,45177.99172000005,0.030149615912450356,
2010-05-06,46031.92172000004,0.011818027744106785,
2010-05-07,46457.73172000005,0.002677028413994864,
2010-05-10,44262.46172000005,0.04980359096399278,
2010-05-11,45232.66172000005,0.028975997553611355,
2010-05-12,45514.48172000005,0.02292607756297682,
2010-05-13,45091.751720000044,0.03200095754892873,
2010-05-14,45349.70172000005,0.02646346247553366,
2010-05-17,45315.82172000004,0.0271907752612931,
2010-05-18,46055.02172000005,0.011322132662907158,
2010-05-19,46358.401720000045,0.004809377263153003,
2010-05-20,47853.74172000005,0.0,70 days
2010-05-21,48081.66172000005,0.0,
2010-05-24,47688.191720000046,0.008183369416210007,
2010-05-25,47695.12172000005,0.008039239622186667,
2010-05-26,47818.32172000004,0.005476932172884252,
2010-05-27,46664.09172000005,0.029482550088537174,
2010-05-28,47036.001720000044,0.02174758447595526,
2010-06-01,47287.02172000005,0.016526883048001206,
2010-06-02,46440.02172000005,0.034142746761956055,
2010-06-03,45498.31172000004,0.05372838432756233,
2010-06-04,46028.07172000004,0.042710462295561524,
2010-06-07,47044.471720000045,0.02157142583881566,
2010-06-08,47101.45172000005,0.020386358643513125,
2010-06-09,47929.971720000045,0.003154841046953738,
2010-06-10,46929.74172000005,0.023957574650978586,
2010-06-11,46815.011720000046,0.02634372346314162,
2010-06-14,45136.458520000044,0.06125418911582492,
2010-06-15,46512.858520000045,0.03262789063189642,
2010-06-16,46817.89852000004,0.026283683940863778,
2010-06-17,46707.22852000004,0.028585393075720167,
2010-06-18,46702.57852000004,0.028682103543571258,
2010-06-21,45635.86852000004,0.05086748486861581,
2010-06-22,45421.038520000046,0.055335508483337015,
2010-06-23,45030.43852000005,0.06345918778283022,
2010-06-24,44384.08852000005,0.07690194281413443,
2010-06-25,44159.02852000004,0.08158272945812817,
2010-06-28,44103.22852000004,0.08274325507234159,
2010-06-29,43981.04884000004,0.08528434195722312,
2010-06-30,44846.87884000004,0.06727685284334639,
2010-07-01,45354.65884000004,0.05671606975400523,
2010-07-02,45628.07884000004,0.051029494244360096,
2010-07-06,45672.718840000045,0.05010107375298922,
2010-07-07,44358.62884000004,0.07743145196771295,
2010-07-08,43767.14884000004,0.0897330234783742,
2010-07-09,42750.65884000004,0.11087393175062676,
2010-07-12,41975.038840000045,0.12700523778819173,
2010-07-13,40731.62884000004,0.15286561689157863,
2010-07-14,40532.608840000044,0.15700482491560597,
2010-07-15,40283.36884000004,0.16218850599242562,
2010-07-16,43483.49884000004,0.09563236201729186,
2010-07-19,42872.48884000004,0.1083401174929276,
2010-07-20,45092.01568000005,0.062178509083358646,
2010-07-21,44711.645680000045,0.07008942535357943,
2010-07-22,45391.47568000005,0.05595035495374723,
2010-07-23,45879.72568000005,0.04579575582938067,
2010-07-26,45778.35568000005,0.047904044028534765,
2010-07-27,46118.73568000005,0.040824837781833545,
2010-07-28,45348.69568000005,0.0568400912579774,
2010-07-29,45408.21568000005,0.05560219726948312,
2010-07-30,45395.19568000005,0.055872986579466266,
2010-08-02,45912.27568000005,0.04511878255442281,
2010-08-03,45858.33568000005,0.046240623981495754,
2010-08-04,47391.90568000005,0.01434551168419973,
2010-08-05,47557.44568000005,0.010902619028700267,
2010-08-06,46824.60568000005,0.02614418876203506,
2010-08-09,47301.69568000005,0.016221694760511274,
2010-08-10,47149.175680000044,0.019393798106027704,
2010-08-11,46035.96568000005,0.04254628410958328,
2010-08-12,46061.075680000045,0.04202404758318745,
2010-08-13,45534.69568000005,0.05297167254393298,
